Address,Name,Price USD,Liquidity(1m),Volume(1m),1m Change,Open Chart,Snipe,Ghost Buyer,Global_Cluster_Percentage,DexScreener_Pair_Address,DexScreener_Liquidity_USD,DexScreener_Token_Price_USD,DexScreener_Token_Name,LP_Percent_Supply,Cluster_Token_Amount_Est,Pool_Project_Token_Amount_Est,Dump_Risk_LP_vs_Cluster_Ratio,Price_Impact_Cluster_Sell_Percent,Overall_Risk_Status,Risk_Warning_Details
4h7Va4MtQ7GhWh6hGPQrcJkVBvXugAea989sr4Papump,Airdrop Coin,0.00005003,24606.21,12359.15,0.00,"=HYPERLINK(""https://dexscreener.com/solana/4h7Va4MtQ7GhWh6hGPQrcJkVBvXugAea989sr4Papump"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
dTzEP9JU2NRDPuWtM32gaVKip2fTHBqjheU1APBpump,The Bitcoin Mascot,0.00042560,71069.00,127441.64,0.00,"=HYPERLINK(""https://dexscreener.com/solana/dTzEP9JU2NRDPuWtM32gaVKip2fTHBqjheU1APBpump"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
4BB8Ev6ncjBYW8h8R5fDzDRAXDPQDmJAiETEjrTqbonk,WankCoin,0.00185100,172890.59,17213.54,0.00,"=HYPERLINK(""https://dexscreener.com/solana/4BB8Ev6ncjBYW8h8R5fDzDRAXDPQDmJAiETEjrTqbonk"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
8mMknPg37S3UnhT58SYnzDLZNA7pnZQPnmRygUuWPJkX,Shovel Token,0.00005365,27292.71,456.57,0.00,"=HYPERLINK(""https://dexscreener.com/solana/8mMknPg37S3UnhT58SYnzDLZNA7pnZQPnmRygUuWPJkX"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
Akd634sRBJQWKgosKCYDKQdxNuZr5J7r2VZ2Fwxmv6Zx,CHAD,0.00024730,55581.02,73883.71,0.00,"=HYPERLINK(""https://dexscreener.com/solana/Akd634sRBJQWKgosKCYDKQdxNuZr5J7r2VZ2Fwxmv6Zx"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
7Knk6mzD3Vc21cmVE82WiTnuq36vYEQ27347JXSdbonk,The OG Pengu,0.00177600,150231.59,164.08,0.00,"=HYPERLINK(""https://dexscreener.com/solana/7Knk6mzD3Vc21cmVE82WiTnuq36vYEQ27347JXSdbonk"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
pumpvQHCc1kxMZ2iHZwYKYkdHHemnZQjKbnQemQUmcB,Pump,0.00003990,21801.42,89.34,0.00,"=HYPERLINK(""https://dexscreener.com/solana/pumpvQHCc1kxMZ2iHZwYKYkdHHemnZQjKbnQemQUmcB"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
DVbRpca7eLcihfzTX4g1dwt2WjRzMUAyvfrD4HeCbonk,Crypto Bro Alexues,0.00005383,26190.05,22417.69,0.00,"=HYPERLINK(""https://dexscreener.com/solana/DVbRpca7eLcihfzTX4g1dwt2WjRzMUAyvfrD4HeCbonk"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
HBsbZz9hvxzi3EnCYWLLwvMPWgV4aeC74mEdvTg9bonk,Macrohard,0.00104900,130147.25,1182175.46,0.00,"=HYPERLINK(""https://dexscreener.com/solana/HBsbZz9hvxzi3EnCYWLLwvMPWgV4aeC74mEdvTg9bonk"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
8TzbUYmxF3ysFTWin8dawfByH1Q9AoqGSbWhEBi2cUpq,Pump Fun Protocol,0.00008035,16077.98,2241.44,0.00,"=HYPERLINK(""https://dexscreener.com/solana/8TzbUYmxF3ysFTWin8dawfByH1Q9AoqGSbWhEBi2cUpq"",""Open Chart"")",Yes,,18.36,F5fpntbXXe7hcrWqQyq2RHudGBtcND1wQk1pweZp4GXJ,14931.97,0.00006922,Pump Fun Protocol,N/A,N/A,N/A,N/A,N/A,High Risk,Low Liquidity
22wwbxxfN9XZBMQ4iS1PG6tKQduCtwpe3jYZqtVaMtCh,UNKNOWN,0.00000109,104574.39,3294.95,0.00,"=HYPERLINK(""https://dexscreener.com/solana/22wwbxxfN9XZBMQ4iS1PG6tKQduCtwpe3jYZqtVaMtCh"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
gDGPpSRVcE8jAGLHSmYef9Pk8RKFMzPcZchcUaNpump,Giant PUMP,0.00024880,59676.34,3992.96,0.00,"=HYPERLINK(""https://dexscreener.com/solana/gDGPpSRVcE8jAGLHSmYef9Pk8RKFMzPcZchcUaNpump"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
7ELT9VdXF7N1yPHZZf76FrckLgkFvHvNN3j9wYs7bonk,Bonk Twin Brother,0.00003798,21958.78,639.70,0.00,"=HYPERLINK(""https://dexscreener.com/solana/7ELT9VdXF7N1yPHZZf76FrckLgkFvHvNN3j9wYs7bonk"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
